id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
0,MTP_DSL,True,True,False,53,84.6,10.981
0,RAW_LLM,True,True,True,59,-60.8,4.263
1,MTP_DSL,True,True,True,54,-80.0,6.144
1,RAW_LLM,True,True,True,35,-80.0,3.869
2,MTP_DSL,True,True,True,54,-66.2,6.64
2,RAW_LLM,True,True,True,37,-66.2,3.994
3,MTP_DSL,True,True,True,53,90.0,5.735
3,RAW_LLM,False,False,False,35,354.4,3.58
4,MTP_DSL,True,True,True,54,90.0,5.795
4,RAW_LLM,False,False,False,37,344.3,3.298
5,MTP_DSL,True,True,True,54,-36.4,5.2
5,RAW_LLM,True,True,True,38,-36.4,3.001
6,MTP_DSL,True,True,True,54,-90.0,5.834
6,RAW_LLM,False,False,False,39,-153.8,3.017
7,MTP_DSL,True,True,False,53,25.7,6.486
7,RAW_LLM,True,True,True,61,-9.9,3.669
8,MTP_DSL,True,True,True,54,-90.0,5.556
8,RAW_LLM,False,False,False,39,-232.3,3.131
9,MTP_DSL,True,True,True,54,-90.0,5.998
9,RAW_LLM,False,False,False,36,-189.3,3.562
10,MTP_DSL,True,True,True,53,79.2,5.253
10,RAW_LLM,True,True,True,37,79.2,3.701
11,MTP_DSL,True,True,True,54,-90.0,6.412
11,RAW_LLM,False,False,False,38,-148.0,4.638
12,MTP_DSL,True,True,True,53,75.6,9.191
12,RAW_LLM,True,True,True,84,75.6,5.551
13,MTP_DSL,True,True,True,55,-80.4,5.547
13,RAW_LLM,True,True,True,37,-80.4,3.389
14,MTP_DSL,True,True,True,54,-54.0,6.746
14,RAW_LLM,True,True,True,37,-54.0,4.015
15,MTP_DSL,True,True,True,54,-89.9,6.212
15,RAW_LLM,True,True,True,37,-89.9,4.015
16,MTP_DSL,True,True,True,55,-90.0,6.079
16,RAW_LLM,False,False,False,38,-342.8,3.327
17,MTP_DSL,True,True,True,54,-46.7,5.181
17,RAW_LLM,True,True,True,38,-46.7,3.029
18,MTP_DSL,True,True,True,53,42.0,7.043
18,RAW_LLM,True,True,True,36,42.0,4.157
19,MTP_DSL,True,True,True,53,90.0,7.532
19,RAW_LLM,False,False,False,35,354.0,3.999
20,MTP_DSL,True,True,True,53,90.0,6.284
20,RAW_LLM,False,False,False,35,281.6,3.597
21,MTP_DSL,True,True,True,54,86.6,5.308
21,RAW_LLM,True,True,True,36,86.6,3.353
22,MTP_DSL,True,True,True,54,-16.4,6.555
22,RAW_LLM,True,True,True,37,-16.4,3.99
23,MTP_DSL,True,True,True,54,-20.5,6.116
23,RAW_LLM,True,True,True,37,-20.5,3.968
24,MTP_DSL,True,True,False,54,-62.7,6.751
24,RAW_LLM,True,True,True,62,62.6,3.516
25,MTP_DSL,True,True,True,54,36.0,8.195
25,RAW_LLM,True,True,True,84,36.0,5.07
26,MTP_DSL,True,True,False,53,44.8,6.384
26,RAW_LLM,True,True,True,61,49.8,3.569
27,MTP_DSL,True,True,False,53,67.0,6.238
27,RAW_LLM,True,True,True,61,57.9,3.865
28,MTP_DSL,True,True,True,53,35.8,8.445
28,RAW_LLM,True,True,True,84,35.8,5.556
29,MTP_DSL,True,True,True,53,87.1,6.327
29,RAW_LLM,True,True,True,36,87.1,4.177
30,MTP_DSL,True,True,True,55,-90.0,5.705
30,RAW_LLM,False,False,False,38,-247.4,3.32
31,MTP_DSL,True,True,True,54,-48.0,5.997
31,RAW_LLM,True,True,True,35,-48.0,3.669
32,MTP_DSL,True,True,True,53,62.7,6.081
32,RAW_LLM,True,True,True,36,62.7,3.976
33,MTP_DSL,True,True,True,54,-90.0,5.466
33,RAW_LLM,False,False,False,39,-260.9,3.834
34,MTP_DSL,True,True,True,55,-90.0,5.602
34,RAW_LLM,False,False,False,38,-256.8,3.328
35,MTP_DSL,True,True,True,54,-28.8,5.918
35,RAW_LLM,True,True,True,35,-28.8,3.929
36,MTP_DSL,True,True,True,54,-88.1,5.187
36,RAW_LLM,True,True,True,38,-88.1,3.037
37,MTP_DSL,True,True,True,53,90.0,5.672
37,RAW_LLM,False,False,False,35,279.9,3.934
38,MTP_DSL,True,True,True,54,-8.3,5.372
38,RAW_LLM,True,True,True,36,-8.3,3.398
39,MTP_DSL,True,True,True,54,-90.0,6.416
39,RAW_LLM,False,False,False,38,-290.9,4.766
40,MTP_DSL,True,True,True,54,-22.0,7.327
40,RAW_LLM,True,True,True,86,-22.0,4.219
41,MTP_DSL,True,True,True,54,-90.0,5.583
41,RAW_LLM,False,False,False,39,-129.2,3.607
42,MTP_DSL,True,True,True,55,-39.3,5.577
42,RAW_LLM,True,True,True,37,-39.3,3.37
43,MTP_DSL,True,True,True,53,66.0,5.57
43,RAW_LLM,True,True,True,34,66.0,3.94
44,MTP_DSL,True,True,True,53,61.8,5.014
44,RAW_LLM,True,True,True,37,61.8,3.004
45,MTP_DSL,True,True,True,54,-35.6,6.182
45,RAW_LLM,True,True,True,37,-35.6,4.154
46,MTP_DSL,True,True,True,55,-30.0,5.602
